ROWNUM,project_id,+PRIVILEGES,object_id,equinox,latitudePole,longitudePole,PC0_0,PC0_1,PC1_0,PC1_1,projection,raDecSystem,OBJECT_ID$
1,402545,4,D585A6DED67E6AECE043C616A9C366D5,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
2,402545,4,D585AA4D8B5D6B2CE043C616A9C3A8ED,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
3,402545,4,D585B10F58FC6B60E043C616A9C3399C,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
4,402545,4,D585B248FB536B83E043C616A9C3EA2C,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
5,402545,4,D585B52645BE6BAFE043C616A9C3CA71,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
6,402545,4,D585B6A4F3CF6BE3E043C616A9C3FFCE,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
7,402545,4,D585B7C5E5816C08E043C616A9C3F103,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
8,402545,4,D585B8DDCDAB6C34E043C616A9C3B13C,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
9,402545,4,D585B9F813A36C40E043C616A9C31662,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
10,402545,4,D585BB1493136C4EE043C616A9C37F5B,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
11,402545,4,D585BD3010736C86E043C616A9C312ED,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
12,402545,4,D585BE64A5F66C97E043C616A9C38A57,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
13,402545,4,D585C46E59BD6D24E043C616A9C31BDB,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
14,402545,4,D585D7672D417015E043C616A9C3CA51,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
15,402545,4,D585DFF4617570CAE043C616A9C39F93,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
16,402545,4,D7B4B23ABB6F321FE043C616A9C3E9F8,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
17,402545,4,D7B4B45C273632CAE043C616A9C3042E,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
18,402545,4,D7B4B4B7EDCB32D4E043C616A9C34321,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
19,402545,4,D7B4B4EF1D7032E4E043C616A9C3A470,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
20,402545,4,D7B4B5BD27F1331BE043C616A9C333BD,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
21,402545,4,D7B4B903409F33ECE043C616A9C313F7,"J2000",50.62041667,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
22,402635,4,E1C09539EDAA2646E043C616A9C3807D,"J2000",16.1648888867,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
23,402635,4,E1C0958401AB2659E043C616A9C3C91C,"J2000",16.1648888867,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
24,402635,4,E1C0E212FA243E6DE043C616A9C31D88,"J2000",42.2944444467,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
25,402635,4,E1C0E345DF573EBBE043C616A9C3553F,"J2000",42.2944444467,180.0,1.0,0.0,0.0,1.0,"SIN","ICRS",DirectionCoordinate
