ROWNUM,project_id,+PRIVILEGES,object_id,channelsPerSubband,channelWidth,processingType,rawSamplingTime,samplingTime,stokesStr,timeDownsamplingFactor,OBJECT_ID$
1,403833,4,0D8E0DAEA87F2F22E053C016A9C3C0BC,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
2,403833,4,0D8E7F5D632C34CBE053C016A9C30AC2,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
3,403833,4,0DAC9F93B76227C6E053C016A9C3F84D,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
4,403833,4,0E6FEFAF10997F51E053C016A9C362BE,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
5,403833,4,0EF8A0BDF7272BFEE053C016A9C3EABB,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
6,403833,4,0EF92201C246681BE053C416A9C36037,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
7,403833,4,0F39FE75C6057EEAE053C416A9C35C93,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
8,403833,4,0FC57BDBDC9816AAE053C016A9C3DD2A,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
9,403833,4,104E272A9E6D2EDAE053C416A9C39216,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
10,403833,4,1059254EB2B77835E053C016A9C3F861,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
11,403833,4,10593FAD7B784898E053C416A9C3AABA,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
12,403833,4,1059CD352A1A572FE053C416A9C35FCB,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
13,403833,4,105A1217296E5D72E053C416A9C383DD,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
14,403833,4,10DBC5557E2174E4E053C016A9C31D3F,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
15,403833,4,10DC6585935D14F9E053C016A9C30931,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
16,403833,4,10DC879D10AE18CAE053C016A9C3712C,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
17,403833,4,10DCC5A27C2F1FABE053C016A9C38C05,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
18,403833,4,10DD303D35AC5D16E053C416A9C3D5BB,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
19,403833,4,10DDC0B1A0ED37C0E053C016A9C3960B,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
20,403833,4,11806E95B694202FE053C016A9C3BC6D,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
21,403833,4,1180F67D3A8D28DAE053C016A9C3449B,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
22,403833,4,118160FDD58F2F5CE053C016A9C30258,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
23,403833,4,120011CD7A977520E053C416A9C32FC9,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
24,403833,4,122FB1E0BC393A60E053C416A9C338F6,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
25,403833,4,123026F688204413E053C416A9C38957,16,12207.03125,"Fly's Eye",8.192e-05,0.01048576,"I",128,FlysEye
