ROWNUM,project_id,+PRIVILEGES,object_id,beamNumber,channelsPerSubband,channelWidth,dispersionMeasure,numberOfSubbands,samplingTime,stokesStr,subArrayPointingIdentifier,subArrayPointingIdentifierName,subArrayPointingIdentifierSour,OBJECT_ID$
1,402693,4,D754CF4F0CFA56BEE043C616A9C39DDC,1,64,3051.757812,0.0,13,3.28e-07,"I",217441,"Sun","MoM",IncoherentStokesBeam
2,402877,4,E00F9D6EEA28416CE043C616A9C31D60,0,16,12207.03125,0.0,400,6.55e-07,"I",276442,"J0943+41","MoM",IncoherentStokesBeam
3,402859,4,E1E2190D51DF606FE043C616A9C3B129,0,256,762.939453,0.0,81,2.0972e-05,"I",276419,"RRL_pt1","MoM",IncoherentStokesBeam
4,402859,4,E1E472A7376873E7E043C616A9C369DA,0,256,762.939453,0.0,81,2.0972e-05,"I",276420,"RRL_pt2","MoM",IncoherentStokesBeam
5,402859,4,E227E825D8315509E043C616A9C35F91,1,256,762.939453,0.0,81,2.0972e-05,"I",289050,"RRL_pt3","MoM",IncoherentStokesBeam
6,402859,4,E224BC71E62F3991E043C616A9C3B8D2,0,256,762.939453,0.0,81,2.0972e-05,"I",289048,"RRL_pt1","MoM",IncoherentStokesBeam
7,402859,4,E22652763C0C474BE043C616A9C3933B,0,256,762.939453,0.0,81,2.0972e-05,"I",289049,"RRL_pt2","MoM",IncoherentStokesBeam
8,402859,4,E1E7EFDEC9991377E043C616A9C3EDCD,1,256,762.939453,0.0,81,2.0972e-05,"I",276421,"RRL_pt3","MoM",IncoherentStokesBeam
9,402693,4,EB2F2320BAA12F0AE043C416A9C3DA04,1,64,3051.757812,0.0,13,3.28e-07,"I",217445,"CygA","MoM",IncoherentStokesBeam
10,402693,4,EB2F346752803003E043C416A9C3547F,1,64,3051.757812,0.0,13,3.28e-07,"I",218199,"Sun","MoM",IncoherentStokesBeam
11,402693,4,EB2F3F5CFE613079E043C416A9C39B2F,1,64,3051.757812,0.0,13,3.28e-07,"I",218200,"CygA","MoM",IncoherentStokesBeam
12,402693,4,EB2FE6BBF1A40EE5E043C016A9C3C57C,0,64,3051.757812,0.0,13,0.000335544,"I",293602,"Sun","MoM",IncoherentStokesBeam
13,402693,4,EB300BFF87901303E043C016A9C34B5A,0,64,3051.757812,0.0,13,0.000335544,"I",293603,"Taurus-A","MoM",IncoherentStokesBeam
14,402693,4,EB302B3D4FE91A68E043C016A9C393C8,0,64,3051.757812,0.0,13,0.000335544,"I",293605,"Sun","MoM",IncoherentStokesBeam
15,402693,4,EB3055F878DA24A1E043C016A9C34173,0,64,3051.757812,0.0,13,0.000335544,"I",293606,"Taurus-A","MoM",IncoherentStokesBeam
16,402693,4,EB307DADE6912CA7E043C016A9C3606E,0,64,3051.757812,0.0,13,0.000335544,"I",294568,"Sun","MoM",IncoherentStokesBeam
17,402693,4,EB30C15B4BA44769E043C016A9C3584C,0,64,3051.757812,0.0,13,0.000335544,"I",294603,"Sun","MoM",IncoherentStokesBeam
18,402693,4,EB3133C916076863E043C016A9C391FA,0,64,3051.757812,0.0,13,0.000335544,"I",295553,"Taurus-A","MoM",IncoherentStokesBeam
19,402693,4,EB314AC82C646E07E043C016A9C366BD,0,64,3051.757812,0.0,13,0.000335544,"I",296360,"Sun","MoM",IncoherentStokesBeam
20,402871,4,EB4FF55F09CD5B2DE043C016A9C3CDBF,0,64,3051.757812,0.0,13,0.000335544,"I",268666,"Sun","MoM",IncoherentStokesBeam
21,402871,4,EB500CB2D6245D5EE043C016A9C36DF0,0,64,3051.757812,0.0,13,0.000335544,"I",268669,"Taurus-A","MoM",IncoherentStokesBeam
22,402871,4,EB504880C63E4CDBE043C416A9C3108B,0,64,3051.757812,0.0,13,0.000335544,"I",268919,"Sun","MoM",IncoherentStokesBeam
23,403119,4,F455D27DD6C12898E043C016A9C33E04,0,16,12207.03125,0.0,244,0.009994,"V",366496,"Sun","MoM",IncoherentStokesBeam
24,403119,4,F455E63E0F392A01E043C016A9C38901,0,16,12207.03125,0.0,244,0.009994,"Q",366496,"Sun","MoM",IncoherentStokesBeam
25,403119,4,F455F0F67A2F2ABEE043C016A9C3A0D4,0,16,12207.03125,0.0,244,0.009994,"I",366497,"CasA","MoM",IncoherentStokesBeam
