ROWNUM,project_id,+PRIVILEGES,object_id,altitude,azimuth,declination,equinox,rightAscension,OBJECT_ID$
1,404021,4,11BE94DD0F816E13E053C416A9C3A1BC,0.0,0.0,0.0,"SUN",0.0,MovingPointing
2,404070,4,15F8D786F4F35BD0E053C016A9C33F8F,0.0,0.0,0.0,"SUN",0.0,MovingPointing
3,404176,4,1B85476D9F2F1024E053C016A9C324AD,0.0,0.0,0.0,"SUN",0.0,MovingPointing
4,404176,4,1B86E722C5CF405AE053C016A9C334A9,0.0,0.0,0.0,"SUN",0.0,MovingPointing
5,404176,4,1B86E763CFDA4062E053C016A9C36BA2,0.0,0.0,0.0,"SUN",0.0,MovingPointing
6,404176,4,1B874088EB874B47E053C016A9C32FCC,0.0,0.0,0.0,"SUN",0.0,MovingPointing
7,404176,4,1B8740D6923C4B56E053C016A9C3C930,0.0,0.0,0.0,"SUN",0.0,MovingPointing
8,404176,4,1B936EFE1A661EBEE053C416A9C31328,0.0,0.0,0.0,"SUN",0.0,MovingPointing
9,404176,4,1B936F47719C1F07E053C416A9C325DD,0.0,0.0,0.0,"SUN",0.0,MovingPointing
10,404205,4,1CB70CAA8F0B7B4CE053C016A9C3B21B,0.0,0.0,0.0,"SUN",0.0,MovingPointing
11,404205,4,1CB7115C4E4D7BB3E053C016A9C37FBE,0.0,0.0,0.0,"SUN",0.0,MovingPointing
12,404205,4,1CB7A98A28B35DE6E053C416A9C31C0D,0.0,0.0,0.0,"SUN",0.0,MovingPointing
13,404205,4,1CB91B70DAC743A5E053C016A9C3456C,0.0,0.0,0.0,"SUN",0.0,MovingPointing
14,404205,4,1CB9A1B8865034A7E053C416A9C39347,0.0,0.0,0.0,"SUN",0.0,MovingPointing
15,404205,4,1CB9A31BAC0E562BE053C016A9C3B9D9,0.0,0.0,0.0,"SUN",0.0,MovingPointing
16,404205,4,1CB9D8A5719E6920E053C016A9C322AB,0.0,0.0,0.0,"SUN",0.0,MovingPointing
17,404205,4,1CB9DFC34CFC69A6E053C016A9C36CDC,0.0,0.0,0.0,"SUN",0.0,MovingPointing
18,404170,4,1E4F4B5C83C241E3E053C016A9C3DE26,0.0,0.0,0.0,"SUN",0.0,MovingPointing
19,404239,4,227E2B6062451FBBE053C016A9C30A64,0.0,0.0,0.0,"SUN",0.0,MovingPointing
20,404239,4,227E4A70EA0E10E5E053C416A9C35C49,0.0,0.0,0.0,"SUN",0.0,MovingPointing
21,404239,4,227EFBA046224337E053C016A9C3F235,0.0,0.0,0.0,"SUN",0.0,MovingPointing
22,404239,4,227F1FEB52BD3511E053C416A9C3F21A,0.0,0.0,0.0,"SUN",0.0,MovingPointing
23,404239,4,227FBEC0816B5F3DE053C016A9C3F1C9,0.0,0.0,0.0,"SUN",0.0,MovingPointing
24,404239,4,227FC255BD2D49EBE053C416A9C350AC,0.0,0.0,0.0,"SUN",0.0,MovingPointing
25,404239,4,229561763B6158C5E053C416A9C39FBC,0.0,0.0,0.0,"SUN",0.0,MovingPointing
